Year,Disease,Neighborhood,Case Count,"Crude Rate per 100,000 Population","Age-Adjusted Rate per 100,000 Population"
2009,Acute hepatitis B,410 Rockaway,2,1.8,1.8
2009,Acute hepatitis B,501 Port Richmond,1,1.4,1.3
2009,Acute hepatitis B,502 Stapleton - St. George,2,1.6,1.7
2009,Acute hepatitis B,503 Willowbrook,1,1.2,0.9
2009,Acute hepatitis B,504 South Beach - Tottenville,0,0,0
2010,Acute hepatitis B,101 Kingsbridge - Riverdale,0,0,0
2010,Acute hepatitis B,102 Northeast Bronx,1,0.5,0.4
2010,Acute hepatitis B,103 Fordham - Bronx Park,3,1.2,1.2
2010,Acute hepatitis B,104 Pelham - Throgs Neck,2,0.7,0.7
2010,Acute hepatitis B,105 Crotona - Tremont,1,0.5,0.5
2010,Acute hepatitis B,106 High Bridge - Morrisania,3,1.4,1.5
2010,Acute hepatitis B,107 Hunts Point - Mott Haven,2,1.5,1.6
2010,Acute hepatitis B,201 Greenpoint,0,0,0
2010,Acute hepatitis B,202 Downtown - Heights - Slope,1,0.4,0.6
2010,Acute hepatitis B,203 Bedford Stuyvesant - Crown Heights,3,0.9,0.9
2010,Acute hepatitis B,204 East New York,5,2.7,3
2010,Acute hepatitis B,205 Sunset Park,3,2.3,2.1
2010,Acute hepatitis B,206 Borough Park,4,1.2,1.3
2010,Acute hepatitis B,207 East Flatbush - Flatbush,5,1.7,1.6
2010,Acute hepatitis B,208 Canarsie - Flatlands,1,0.5,0.5
2010,Acute hepatitis B,209 Bensonhurst - Bay Ridge,1,0.5,0.5
2010,Acute hepatitis B,210 Coney Island - Sheepshead Bay,2,0.7,0.5
2010,Acute hepatitis B,211 Williamsburg - Bushwick,3,1.4,1.5
2010,Acute hepatitis B,301 Washington Heights - Inwood,3,1.2,1.2
2010,Acute hepatitis B,302 Central Harlem - Morningside Heights,4,2.5,2.3
2010,Acute hepatitis B,303 East Harlem,0,0,0
2010,Acute hepatitis B,304 Upper West Side,0,0,0
2010,Acute hepatitis B,305 Upper East Side,3,1.4,1.1
2010,Acute hepatitis B,306 Chelsea - Clinton,2,1.3,1.2
2010,Acute hepatitis B,307 Gramercy Park - Murray Hill,2,1.5,1.4
2010,Acute hepatitis B,308 Greenwich Village - Soho,0,0,0
2010,Acute hepatitis B,309 Union Square - Lower East Side,1,0.5,0.5
2010,Acute hepatitis B,310 Lower Manhattan,2,3.7,2.3
2010,Acute hepatitis B,401 Long Island City - Astoria,3,1.4,1.1
2010,Acute hepatitis B,402 West Queens,8,1.6,1.5
2010,Acute hepatitis B,403 Flushing - Clearview,0,0,0
2010,Acute hepatitis B,404 Bayside - Littleneck,1,1.1,0.8
2010,Acute hepatitis B,405 Ridgewood - Forest Hills,2,0.8,0.7
2010,Acute hepatitis B,406 Fresh Meadows,0,0,0
2010,Acute hepatitis B,407 Southwest Queens,1,0.4,0.4
2010,Acute hepatitis B,408 Jamaica,3,1,1.1
2010,Acute hepatitis B,409 Southeast Queens,1,0.5,0.6
2010,Acute hepatitis B,410 Rockaway,0,0,0
2010,Acute hepatitis B,501 Port Richmond,1,1.4,1.2
2010,Acute hepatitis B,502 Stapleton - St. George,1,0.8,0.7
2010,Acute hepatitis B,503 Willowbrook,0,0,0
2010,Acute hepatitis B,504 South Beach - Tottenville,1,0.5,0.6
2011,Acute hepatitis B,101 Kingsbridge - Riverdale,0,0,0
2011,Acute hepatitis B,102 Northeast Bronx,1,0.5,0.4
2011,Acute hepatitis B,103 Fordham - Bronx Park,3,1.2,1.1
2011,Acute hepatitis B,104 Pelham - Throgs Neck,4,1.3,1.3
2011,Acute hepatitis B,105 Crotona - Tremont,6,2.9,3.2
2011,Acute hepatitis B,106 High Bridge - Morrisania,4,1.9,2.1
2011,Acute hepatitis B,107 Hunts Point - Mott Haven,0,0,0
2011,Acute hepatitis B,201 Greenpoint,1,0.7,0.5
2011,Acute hepatitis B,202 Downtown - Heights - Slope,0,0,0
2011,Acute hepatitis B,203 Bedford Stuyvesant - Crown Heights,4,1.3,1.2
2011,Acute hepatitis B,204 East New York,2,1.1,1.1
2011,Acute hepatitis B,205 Sunset Park,0,0,0
2011,Acute hepatitis B,206 Borough Park,1,0.3,0.3
2011,Acute hepatitis B,207 East Flatbush - Flatbush,5,1.7,1.6
2011,Acute hepatitis B,208 Canarsie - Flatlands,1,0.5,0.6
2011,Acute hepatitis B,209 Bensonhurst - Bay Ridge,1,0.5,0.4
2011,Acute hepatitis B,210 Coney Island - Sheepshead Bay,3,1,1
2011,Acute hepatitis B,211 Williamsburg - Bushwick,3,1.4,1.5
2011,Acute hepatitis B,301 Washington Heights - Inwood,1,0.4,0.4
2011,Acute hepatitis B,302 Central Harlem - Morningside Heights,2,1.2,1.3
2011,Acute hepatitis B,303 East Harlem,2,1.8,1.7
2011,Acute hepatitis B,304 Upper West Side,4,1.8,1.8
2011,Acute hepatitis B,305 Upper East Side,0,0,0
2011,Acute hepatitis B,306 Chelsea - Clinton,4,2.6,2
2011,Acute hepatitis B,307 Gramercy Park - Murray Hill,1,0.7,0.7
2011,Acute hepatitis B,308 Greenwich Village - Soho,1,1.2,1.1
2011,Acute hepatitis B,309 Union Square - Lower East Side,2,1,0.9
2011,Acute hepatitis B,310 Lower Manhattan,0,0,0
2011,Acute hepatitis B,401 Long Island City - Astoria,2,0.9,0.8
2011,Acute hepatitis B,402 West Queens,6,1.2,1
2011,Acute hepatitis B,403 Flushing - Clearview,1,0.4,0.4
2011,Acute hepatitis B,404 Bayside - Littleneck,0,0,0
2011,Acute hepatitis B,405 Ridgewood - Forest Hills,2,0.8,0.8
2011,Acute hepatitis B,406 Fresh Meadows,0,0,0
2011,Acute hepatitis B,407 Southwest Queens,7,2.6,2.6
2011,Acute hepatitis B,408 Jamaica,2,0.7,0.6
2011,Acute hepatitis B,409 Southeast Queens,1,0.5,0.6
2011,Acute hepatitis B,410 Rockaway,0,0,0
2011,Acute hepatitis B,501 Port Richmond,0,0,0
2011,Acute hepatitis B,502 Stapleton - St. George,1,0.8,0.9
2011,Acute hepatitis B,503 Willowbrook,1,1.2,0.9
2011,Acute hepatitis B,504 South Beach - Tottenville,1,0.5,0.4
2012,Acute hepatitis B,101 Kingsbridge - Riverdale,0,0,0
2012,Acute hepatitis B,102 Northeast Bronx,2,1,0.9
2012,Acute hepatitis B,103 Fordham - Bronx Park,3,1.2,1.2
2012,Acute hepatitis B,104 Pelham - Throgs Neck,1,0.3,0.3
2012,Acute hepatitis B,105 Crotona - Tremont,1,0.5,0.5
2012,Acute hepatitis B,106 High Bridge - Morrisania,1,0.5,0.5
2012,Acute hepatitis B,107 Hunts Point - Mott Haven,2,1.4,1.5
2012,Acute hepatitis B,201 Greenpoint,0,0,0
2012,Acute hepatitis B,202 Downtown - Heights - Slope,1,0.4,0.5
2012,Acute hepatitis B,203 Bedford Stuyvesant - Crown Heights,1,0.3,0.3
2012,Acute hepatitis B,204 East New York,0,0,0
2012,Acute hepatitis B,205 Sunset Park,1,0.8,0.6
2012,Acute hepatitis B,206 Borough Park,0,0,0
2012,Acute hepatitis B,207 East Flatbush - Flatbush,6,2,1.9
2012,Acute hepatitis B,208 Canarsie - Flatlands,1,0.5,0.6
2012,Acute hepatitis B,209 Bensonhurst - Bay Ridge,0,0,0
2012,Acute hepatitis B,210 Coney Island - Sheepshead Bay,3,1,1.2
2012,Acute hepatitis B,211 Williamsburg - Bushwick,1,0.5,0.4
2012,Acute hepatitis B,301 Washington Heights - Inwood,5,2,1.8
2012,Acute hepatitis B,302 Central Harlem - Morningside Heights,1,0.6,0.5
2012,Acute hepatitis B,303 East Harlem,1,0.9,0.9
2012,Acute hepatitis B,304 Upper West Side,2,0.9,0.8
2012,Acute hepatitis B,305 Upper East Side,1,0.4,0.3
2012,Acute hepatitis B,306 Chelsea - Clinton,2,1.3,1.3
2012,Acute hepatitis B,307 Gramercy Park - Murray Hill,1,0.7,0.5
2012,Acute hepatitis B,308 Greenwich Village - Soho,1,1.2,1.1
2012,Acute hepatitis B,309 Union Square - Lower East Side,3,1.5,1.3
2012,Acute hepatitis B,310 Lower Manhattan,0,0,0
2012,Acute hepatitis B,401 Long Island City - Astoria,3,1.4,1.3
2012,Acute hepatitis B,402 West Queens,4,0.8,0.8
